Funds,Classification,Fund Manager,Fund Type,Benchmark Index,AUM(In Rs. Cr),Expenseratio (%),NAV,Return (%)1 Yr,Return (%)3 Yrs,Return (%)5 Yrs,Return (%)10 Yrs,Turnover Ratio (%),Avg. Market Cap(In Rs. Cr),Avg. Maturity(In Yrs),Modified Duration(In Yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,Fund Age (Years)
LIC MF Overnight FundNAReg(G),Debt : Overnight,Rahul Singh,Open Ended,Nifty 1D Rate Index,410.3,0.2,1320.04,6.46,6.23,4.95,10.335,0.0,160311,0.01,0.01,7.3,0.01,2.8,0.88,0.88,0.21,5
LIC MF Short Duration FundNAReg(G),Debt : Short Duration,Marzban Irani,Open Ended,CRISIL Short Duration Debt Index,110.6,1.32,14.46,8.89,6.28,5.41,10.335,0.0,160311,3.15,2.7,7.14,0.04,0.44,0.66,0.37,1.31,6
LIC MF Small Cap Fund(G),Equity : Small Cap,Nikhil Rungta,Open Ended,Nifty Smallcap 250 NA TRI,493.7,2.42,27.65,4.21,16.37,30.83,10.335,87.0,7793,3.105,2.595,7.065,0.08,0.2,0.34,0.91,20.0,7
LIC MF ULIS,Hybrid : Solution Oriented,Dikshit Mittal,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,469.8,2.37,35.53,8.48,10.26,16.59,9.56,1.0,174117,3.105,2.595,7.065,0.15,0.14,0.25,1.07,10.88,35
LIC MF Ultra Short Duration FundNAReg(G),Debt : Ultra Short Duration,Rahul Singh,Open Ended,CRISIL Ultra Short Term Debt Index,306.8,0.95,1307.82,7.04,6.15,5.12,10.335,0.0,160311,0.44,0.44,7.89,0.15,1.46,0.77,1.09,0.41,5
LIC MF Value FundNAReg(G),Equity : Value / Contra,Nikhil Rungta,Open Ended,NIFTY 500 NA TRI,148.9,2.41,21.96,1.7,12.07,20.27,10.335,126.0,16886,3.105,2.595,7.065,0.15,0.15,0.26,1.1,17.38,6
Mahindra Manulife Aggressive Hybrid FundNAReg(G),Hybrid : Equity Oriented,Fatema Pacha,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,1566.5,2.07,26.14,11.11,16.4,21.41,10.335,74.0,250190,11.06,5.22,7.43,0.16,0.27,0.53,1.14,11.33,5
Mahindra Manulife Arbitrage FundNAReg(G),Hybrid : Arbitrage,Navin Matta,Open Ended,Nifty 50 Arbitrage,103.7,1.21,12.25,5.87,5.37,15.835,10.335,859.0,316048,0.17,0.17,6.5,0.15,0.68,0.61,0.57,0.53,4
Mahindra Manulife Balanced Advantage FundNAReg(G),Hybrid : Dynamic Asset Allocation,Manish Lodha,Open Ended,NIFTY 50 Hybrid Composite Debt 50:50 Index,864.1,2.24,13.88,4.89,11.84,15.835,10.335,303.0,181857,6.78,3.56,6.88,0.15,0.22,0.44,0.64,9.32,3
Mahindra Manulife Business Cycle FundNAReg(G),Equity : Thematic,Krishna Sanghavi,Open Ended,NIFTY 500 NA TRI,1128.5,2.15,13.86,3.23,12.555,15.835,10.335,64.0,114742,3.105,2.595,7.065,0.35,0.29,0.59,1.16,17.29,1
Mahindra Manulife Consumption FundNAReg(G),Equity : Thematic NA Consumption,Navin Matta,Open Ended,Nifty India Consumption NA TRI,445.9,2.38,21.58,4.61,16.19,20.14,10.335,27.0,92674,3.105,2.595,7.065,0.15,0.23,0.41,0.93,14.33,6
Mahindra Manulife Dynamic Bond FundNAReg(G),Debt : Credit Risk,Rahul Pal,Open Ended,CRISIL Dynamic Bond Index,77.8,1.57,14.29,10.43,6.85,5.16,10.335,0.0,160311,18.17,8.2,7.12,0.15,0.34,0.73,1.29,2.23,6
Mahindra Manulife ELSS Tax Saver FundNAReg(G),Equity : Tax Saving (ELSS),Fatema Pacha,Open Ended,NIFTY 500 NA TRI,895.3,2.19,27.25,5.44,14.24,22.46,10.335,78.0,236194,3.105,2.595,7.065,0.15,0.18,0.34,0.92,13.76,8
Mahindra Manulife Equity Savings FundNAReg(G),Hybrid : Equity Oriented,Manish Lodha,Open Ended,NIFTY 50 Equity Savings Index NA TRI,557.0,2.38,19.92,5.27,8.56,12.81,10.335,469.0,259561,1.94,1.56,6.79,0.15,0.18,0.36,0.89,6.02,8
Mahindra Manulife Flexi Cap FundNAReg(G),Equity : Flexi Cap,Fatema Pacha,Open Ended,NIFTY 500 NA TRI,1401.6,2.08,15.48,6.05,15.84,15.835,10.335,80.0,231353,3.105,2.595,7.065,0.07,0.21,0.4,0.95,14.15,3
Mahindra Manulife Focused FundNAReg(G),Equity : Flexi Cap,Krishna Sanghavi,Open Ended,NIFTY 500 NA TRI,1971.4,2.01,25.75,5.67,19.57,15.835,10.335,33.0,324016,3.105,2.595,7.065,0.38,0.28,0.57,0.91,13.86,4
Mahindra Manulife Large & Mid Cap FundNAReg(G),Equity : Large & Mid Cap,Manish Lodha,Open Ended,NIFTY LargeMidcap 250 NA TRI,2415.4,1.96,25.29,8.43,14.38,24.43,10.335,141.0,115647,3.105,2.595,7.065,0.15,0.17,0.32,0.99,15.57,5
Mahindra Manulife Large Cap FundNAReg(G),Equity : Large Cap,Fatema Pacha,Open Ended,NIFTY 100 NA TRI,610.7,2.35,22.52,7.73,13.78,20.34,10.335,70.0,371160,3.105,2.595,7.065,0.04,0.18,0.35,0.92,13.06,6
Mahindra Manulife Liquid FundNAReg(G),Debt : Liquid,Rahul Pal,Open Ended,CRISIL Liquid Debt Index,1025.8,0.26,1681.2,7.27,6.84,5.47,10.335,0.0,160311,0.15,0.15,7.12,0.15,2.6,0.96,1.08,0.29,8
Mahindra Manulife Low Duration FundNAReg(G),Debt : Low Duration,Rahul Pal,Open Ended,CRISIL Low Duration Debt Index,556.8,1.09,1617.63,7.58,6.46,5.57,10.335,0.0,160311,1.18,0.86,7.61,0.15,1.05,0.88,1.25,0.63,8
Mahindra Manulife Manufacturing FundNAReg(G),Equity : Thematic,Renjith Sivaram,Open Ended,BSE India Manufacturing Index NA TRI,806.5,2.29,8.9,8.43,12.555,15.835,10.335,20.84,62696,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mahindra Manulife Mid Cap FundNAReg(G),Equity : Mid Cap,Kirti Dalvi,Open Ended,Nifty Midcap 150 NA TRI,3397.9,1.89,30.94,5.07,21.6,29.3,10.335,62.0,63212,3.105,2.595,7.065,0.03,0.27,0.51,0.97,17.15,7
Mahindra Manulife Multi Asset Allocation FundNAReg(G),Hybrid : Multi Asset Allocation,Renjith Sivaram,Open Ended,NIFTY 500 NA TRI,566.1,2.03,11.43,10.92,12.555,15.835,10.335,0.0,183243,10.75,5.74,7.33,0.42,0.27,0.62,0.45,7.12,1
Mahindra Manulife Multi Cap FundNAReg(G),Equity : Multi Cap,Manish Lodha,Open Ended,Nifty500 Multicap 50:25:25 NA TRI,4883.2,1.83,32.76,4.9,17.1,26.65,10.335,124.0,100142,3.105,2.595,7.065,0.15,0.2,0.37,1.02,16.57,7
Mahindra Manulife Overnight FundNAReg(G),Debt : Overnight,Rahul Pal,Open Ended,CRISIL Liquid Overnight Index,76.4,0.19,1320.35,6.48,6.25,4.99,10.335,0.0,160311,0.01,0.01,7.18,0.15,2.8,0.89,0.93,0.21,5
Mahindra Manulife Short Duration FundNAReg(G),Debt : Short Duration,Rahul Pal,Open Ended,CRISIL Short Duration Debt Index,75.1,1.26,12.64,8.92,6.63,15.835,10.335,0.0,160311,2.78,2.29,7.37,0.15,0.56,0.8,1.3,1.23,4
Mahindra Manulife Small Cap FundNAReg(G),Equity : Small Cap,Vishal Jajoo,Open Ended,BSE 250 Small Cap NA TRI,3463.7,1.87,17.37,8.43,12.555,15.835,10.335,99.0,19304,3.105,2.595,7.065,0.46,0.36,0.65,0.93,18.29,2
Mahindra Manulife Ultra Short Duration FundNAReg(G),Debt : Ultra Short Duration,Rahul Pal,Open Ended,CRISIL Ultra Short Term Debt Index,217.4,0.69,1360.71,7.46,6.66,5.62,10.335,0.0,160311,0.46,0.4,7.35,0.15,1.55,0.92,1.04,0.47,5
Mahindra Manulife Value FundNAReg(G),Equity : Value / Contra,Krishna Sanghavi,Open Ended,NIFTY 500 NA TRI,280.8,2.33,10.78,8.43,12.555,15.835,10.335,20.84,103288,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Aggressive Hybrid FundNAReg(G),Hybrid : Equity Oriented,Harshad Borawake,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,8681.5,1.74,30.8,8.85,12.68,17.52,10.335,114.0,216158,6.98,3.98,7.19,0.15,0.2,0.4,1.09,10.66,9
Mirae Asset Arbitrage FundNAReg(G),Hybrid : Arbitrage,Jignesh Rao,Open Ended,Nifty 50 Arbitrage,3111.3,0.92,12.91,7.09,6.57,15.835,10.335,1890.0,132143,0.02,0.02,6.69,0.05,1.2,0.96,0.64,0.57,4
Mirae Asset Balanced Advantage FundNAReg(G),Hybrid : Dynamic Asset Allocation,Harshad Borawake,Open Ended,NIFTY 50 Hybrid Composite Debt 50:50 Index,1765.7,2.08,13.63,8.27,12.555,15.835,10.335,305.0,204245,4.24,3.18,6.9,0.22,0.32,0.74,0.57,6.83,2
Mirae Asset Banking and Financial Services FundNAReg(G),Equity : Sectoral NA Financial Services,Gaurav Kochar,Open Ended,Nifty Financial Services NA TRI,1840.6,2.08,19.7,14.13,18.64,15.835,10.335,32.0,190241,3.105,2.595,7.065,0.15,0.23,0.47,0.95,15.61,4
Mirae Asset Banking and PSU FundNAReg(G),Debt : Banking & PSU,Kruti Chheta,Open Ended,CRISIL Banking and PSU Debt Index,47.0,0.81,12.88,9.43,6.74,15.835,10.335,0.0,160311,6.03,4.15,7.12,0.15,0.52,0.83,1.25,1.39,4
Mirae Asset BSE 200 Equal Weight ETF,Equity : ETFs,Ekta Gala,Open Ended,BSE 200 Equal Weight NA TRI,14.2,0.18,12.3,8.43,12.555,15.835,10.335,20.84,101010,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset BSE 200 Equal Weight ETF FoFNAReg(G),FoFs : Domestic,Ekta Gala,Open Ended,BSE 200 Equal Weight NA TRI,7.9,0.67,10.64,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset BSE Select IPO ETF,Equity : ETFs,Ekta Gala,Open Ended,BSE Select IPO Index NA TRI,14.6,0.19,44.07,8.43,12.555,15.835,10.335,20.84,54787,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset BSE Select IPO ETF FoFNAReg(G),FoFs : Domestic,Ekta Gala,Open Ended,BSE Select IPO Index NA TRI,7.7,0.67,10.92,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset BSE Sensex ETF,Equity : ETFs,Ekta Gala,Open Ended,BSE SENSEX NA TRI,18.4,0.05,81.4,8.74,12.555,15.835,10.335,20.84,669830,9.99,6.91,6.88,0.15,0.21,0.45,1.0,11.92,1
Mirae Asset Corp Bond FundNAReg(G),Debt : Corporate Bond,Kruti Chheta,Open Ended,CRISIL Corporate Bond Index,41.3,0.63,12.69,9.66,6.79,15.835,10.335,0.0,160311,5.69,3.85,7.23,0.06,0.51,0.83,0.42,1.44,4
Mirae Asset CRISIL IBX Gilt Index NA April 2033 Index FundNAReg(G),Debt : Gilt,Amit Modani,Open Ended,CRISIL IBX Gilt Index NA April 2033,237.2,0.36,12.65,12.38,12.555,15.835,10.335,0.0,160311,7.42,5.61,6.69,0.02,0.69,1.47,0.93,2.23,2
Mirae Asset Dynamic Bond FundNAReg(G),Debt : Dynamic Bond,Amit Modani,Open Ended,CRISIL Dynamic Bond Index,117.4,1.02,15.99,8.11,6.0,4.62,10.335,0.0,160311,1.9,1.69,7.0,0.15,0.23,0.33,0.4,2.12,8
Mirae Asset ELSS Tax Saver FundNAReg(G),Equity : Tax Saving (ELSS),Neelesh Surana,Open Ended,NIFTY 500 NA TRI,23945.2,1.58,45.95,7.84,14.89,23.78,10.335,125.0,179936,3.105,2.595,7.065,0.15,0.19,0.37,0.94,13.9,9
Mirae Asset Equity Allocator FoFNAReg(G),FoFs : Domestic,Bharti Sawant,Open Ended,NIFTY 200 NA TRI,853.1,0.12,23.79,6.69,14.74,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.03,0.2,0.39,0.99,14.14,4
Mirae Asset Equity Savings FundNAReg(G),Hybrid : Equity Oriented,Harshad Borawake,Open Ended,NIFTY 50 Equity Savings Index,1359.8,1.35,19.61,9.11,10.56,13.59,10.335,458.0,202632,4.02,3.03,6.83,0.09,0.27,0.59,1.06,5.99,6
Mirae Asset Flexi Cap FundNAReg(G),Equity : Flexi Cap,Varun Goel,Open Ended,NIFTY 500 NA TRI,2537.3,1.95,14.65,6.96,12.555,15.835,10.335,42.0,151897,3.105,2.595,7.065,0.15,0.33,0.65,0.96,12.76,2
Mirae Asset Focused FundNAReg(G),Equity : Multi Cap,Gaurav Misra,Open Ended,NIFTY 500 NA TRI,7410.5,1.8,24.21,9.34,9.06,20.26,10.335,35.0,99405,3.105,2.595,7.065,0.15,0.08,0.14,0.88,13.73,5
Mirae Asset Gold ETF,Gold : ETFs,Ritesh Patel,Open Ended,GoldNAIndia,733.7,0.34,92.22,30.94,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,1.29,0.46,1.23,0.89,12.41,2
Mirae Asset Gold ETF FoFNAReg(G),Gold : ETFs,Ritesh Patel,Open Ended,GoldNAIndia,78.7,0.69,12.06,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Great Consumer FundNAReg(G),Equity : Thematic NA Consumption,Ankit Jain,Open Ended,Nifty India Consumption NA TRI,3871.8,1.87,88.02,7.03,17.5,23.53,14.74,47.0,101211,3.105,2.595,7.065,0.15,0.24,0.45,0.97,15.11,14
Mirae Asset Hang Seng TECH ETF,Equity : ETFs,Siddharth Srivastava,Open Ended,Hang Seng TECH TRI,382.8,0.54,18.51,39.77,8.54,15.835,10.335,20.84,160311,3.105,2.595,7.065,1.12,0.09,0.2,1.38,39.19,3
Mirae Asset Healthcare FundNAReg(G),Equity : Sectoral NA Pharma,Vrijesh Kasera,Open Ended,BSE Health Care NA TRI,2667.4,1.96,36.7,16.95,18.41,22.38,10.335,36.0,67084,3.105,2.595,7.065,0.15,0.25,0.5,0.96,15.66,6
Mirae Asset Large & Midcap FundNAReg(G),Equity : Large & Mid Cap,Neelesh Surana,Open Ended,NIFTY LargeMidcap 250 NA TRI,36506.8,1.55,139.86,4.82,14.13,23.45,17.19,94.0,126756,3.105,2.595,7.065,0.15,0.18,0.33,0.94,14.49,14
Mirae Asset Large Cap FundNAReg(G),Equity : Large Cap,Gaurav Misra,Open Ended,NIFTY 100 NA TRI,37778.4,1.56,107.85,9.01,12.25,19.47,13.05,45.0,321521,3.105,2.595,7.065,0.15,0.16,0.3,0.89,12.68,16
Mirae Asset Liquid FundNAReg(G),Debt : Liquid,Amit Modani,Open Ended,Nifty Liquid Fund Index,8684.2,0.2,2709.26,7.27,6.81,5.45,6.17,0.0,160311,0.18,0.18,6.99,0.16,2.67,0.97,0.27,0.29,16
Mirae Asset Long Duration FundNAReg(G),Debt : Long Duration,Kruti Chheta,Open Ended,CRISIL Long Duration Debt Index,37.7,0.76,10.51,8.43,12.555,15.835,10.335,0.0,160311,29.88,11.3,6.97,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Low Duration FundNAReg Savings Plan(G),Debt : Low Duration,Basant Bafna,Open Ended,NIFTY Low Duration Debt Index,1414.6,0.86,2234.43,7.81,6.58,5.76,6.01,0.0,160311,1.01,0.89,7.29,0.15,1.13,0.87,0.14,0.62,17
Mirae Asset Midcap FundNAReg(G),Equity : Mid Cap,Ankit Jain,Open Ended,Nifty Midcap 150 NA TRI,14921.6,1.7,32.48,3.35,16.46,28.62,10.335,104.0,45436,3.105,2.595,7.065,0.15,0.2,0.38,0.95,16.7,5
Mirae Asset Money Market FundNAReg(G),Debt : Money Market,Amit Modani,Open Ended,Nifty Money Market Index,2196.8,0.44,1246.93,7.89,6.81,15.835,10.335,0.0,160311,0.9,0.9,7.14,0.13,1.59,0.95,0.44,0.48,3
Mirae Asset Multi Asset Allocation FundNAReg(G),Hybrid : Multi Asset Allocation,Harshad Borawake,Open Ended,NIFTY 500 NA TRI,1842.8,2.0,11.62,11.78,12.555,15.835,10.335,299.0,197225,4.8,3.58,6.88,0.48,0.31,0.7,0.49,7.08,1
Mirae Asset Multicap FundNAReg(G),Equity : Multi Cap,Ankit Jain,Open Ended,Nifty500 Multicap 50:25:25 NA TRI,3334.8,1.89,13.11,6.36,12.555,15.835,10.335,98.0,80643,3.105,2.595,7.065,0.15,0.2,0.39,0.95,14.88,1
Mirae Asset Nifty 100 ESG Sector Leaders ETF,Equity : ETFs,Ekta Gala,Open Ended,Nifty100 ESG Sector Leaders NA TRI,116.6,0.41,41.14,8.94,12.32,15.835,10.335,20.84,447632,3.105,2.595,7.065,0.15,0.15,0.28,1.0,13.49,4
Mirae Asset Nifty 100 ESG Sector Leaders FoFNAReg(G),FoFs : Domestic,Ekta Gala,Open Ended,Nifty100 ESG Sector Leaders NA TRI,95.6,0.42,17.96,8.4,11.6,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.14,0.26,0.99,13.44,4
Mirae Asset Nifty 100 Low Volatility 30 ETF,Equity : ETFs,Ekta Gala,Open Ended,Nifty100 Low Volatility 30 NA TRI,40.7,0.34,197.79,9.51,12.555,15.835,10.335,20.84,303521,3.105,2.595,7.065,0.15,0.4,0.81,1.0,12.31,2
Mirae Asset Nifty 1D Rate Liquid ETF(G),Debt : ETFs,Amit Modani,Open Ended,Nifty 1D Rate Index,256.1,0.16,1029.84,8.43,12.555,15.835,10.335,0.0,160311,0.01,0.01,6.69,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Nifty 1D Rate Liquid ETF(IDCW),Debt : ETFs,Amit Modani,Open Ended,Nifty 1D Rate Index,562.4,0.28,1000.0,6.23,12.555,15.835,10.335,0.0,160311,0.01,0.01,6.69,0.08,8.01,0.73,0.49,0.08,1
Mirae Asset Nifty 200 Alpha 30 ETF,Equity : ETFs,Ekta Gala,Open Ended,Nifty200 Alpha 30 NA TRI,378.4,0.39,23.32,8.43,12.555,15.835,10.335,20.84,115704,3.105,2.595,7.065,0.15,0.22,0.4,1.0,23.66,1
Mirae Asset Nifty 50 ETF,Equity : ETFs,Ekta Gala,Open Ended,NIFTY 50 NA TRI,4292.9,0.05,260.13,8.74,13.71,21.1,10.335,20.84,541621,3.105,2.595,7.065,0.15,0.18,0.37,1.0,13.01,6
Mirae Asset Nifty 50 Index FundNAReg(G),Equity : Index Funds,Ekta Gala,Open Ended,NIFTY 50 NA TRI,24.9,0.75,9.96,8.43,12.555,15.835,10.335,20.84,541701,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Nifty 8NA13 yr GNASec ETF,Debt : ETFs,Amit Modani,Open Ended,Nifty 8NA13 yr GNASec,89.8,0.1,28.95,12.59,12.555,15.835,10.335,0.0,160311,9.06,6.49,6.7,0.15,0.71,1.41,0.98,2.23,2
Mirae Asset Nifty AAA PSU Bond Plus SDL Apr 2026 50:50 Index FundNAReg(G),Debt : Banking & PSU,Amit Modani,Open Ended,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index,90.1,0.31,11.98,8.04,12.555,15.835,10.335,0.0,160311,0.89,0.83,6.98,0.17,1.3,1.09,0.23,0.73,2
Mirae Asset Nifty Bank ETF,Equity : ETFs,Ekta Gala,Open Ended,NIFTY BANK NA TRI,228.6,0.1,555.1,12.91,12.555,15.835,10.335,20.84,503473,3.105,2.595,7.065,0.15,0.12,0.25,1.0,14.56,1
Mirae Asset Nifty EV and New Age Automotive ETF,Equity : ETFs,Ekta Gala,Open Ended,Nifty EV and New Age Automotive NA TRI,157.9,0.46,27.21,8.43,12.555,15.835,10.335,20.84,89688,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Nifty Financial Services ETF,Equity : ETFs,Ekta Gala,Open Ended,Nifty Financial Services NA TRI,393.1,0.12,26.76,21.09,17.15,15.835,10.335,20.84,631367,3.105,2.595,7.065,0.15,0.2,0.41,1.0,15.45,3
Mirae Asset Nifty India Manufacturing ETF,Equity : ETFs,Ekta Gala,Open Ended,Nifty India Manufacturing NA TRI,202.7,0.46,136.63,4.72,19.06,15.835,10.335,20.84,144648,3.105,2.595,7.065,0.15,0.25,0.48,1.0,16.07,3
Mirae Asset Nifty India Manufacturing ETF FoFNAReg(G),FoFs : Domestic,Ekta Gala,Open Ended,Nifty India Manufacturing NA TRI,101.6,0.46,16.95,3.94,18.36,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.24,0.46,1.0,15.98,3
Mirae Asset Nifty India New Age Consumption ETF,Equity : ETFs,Ekta Gala,Open Ended,Nifty India New Age Consumption NA TRI,25.7,0.33,10.91,8.43,12.555,15.835,10.335,20.84,117822,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Nifty India New Age Consumption ETF FoFNAReg(G),FoFs : Domestic,Ekta Gala,Open Ended,Nifty India New Age Consumption NA TRI,12.0,0.61,8.96,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Nifty IT ETF,Equity : ETFs,Ekta Gala,Open Ended,NIFTY IT NA TRI,135.5,0.1,36.84,9.32,12.555,15.835,10.335,20.84,375888,3.105,2.595,7.065,0.15,0.13,0.24,1.0,22.39,1
Mirae Asset Nifty LargeMidcap 250 Index FundNAReg(G),Equity : Index Funds,Ekta Gala,Open Ended,NIFTY LargeMidcap 250 NA TRI,15.9,0.85,9.65,8.43,12.555,15.835,10.335,20.84,153408,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Nifty Metal ETF,Equity : ETFs,Ekta Gala,Open Ended,NIFTY METAL NA TRI,40.6,0.28,8.59,8.43,12.555,15.835,10.335,20.84,140645,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Nifty Midcap 150 ETF,Equity : ETFs,Ekta Gala,Open Ended,Nifty Midcap 150 NA TRI,927.5,0.06,20.15,6.6,21.65,15.835,10.335,20.84,55280,3.105,2.595,7.065,0.15,0.27,0.52,1.0,17.33,3
Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,Equity : ETFs,Ekta Gala,Open Ended,Nifty MidSmallcap400 Momentum Quality 100 NA TRI,300.9,0.4,46.02,8.43,12.555,15.835,10.335,20.84,47428,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF FoFNAReg(G),FoFs : Domestic,Ekta Gala,Open Ended,Nifty MidSmallcap400 Momentum Quality 100 NA TRI,199.6,0.77,9.25,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Nifty Next 50 ETF,Equity : ETFs,Ekta Gala,Open Ended,NIFTY NEXT 50 NA TRI,541.0,0.05,657.75,1.28,15.39,22.17,10.335,20.84,134058,3.105,2.595,7.065,0.15,0.17,0.31,1.0,20.03,5
Mirae Asset Nifty PSU Bank ETF,Equity : ETFs,Ekta Gala,Open Ended,NIFTY PSU BANK NA TRI,38.3,0.18,65.34,8.43,12.555,15.835,10.335,20.84,170700,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Nifty SDL Jun 2027 Index FundNAReg(G),Debt : Medium to Long Duration,Amit Modani,Open Ended,Nifty SDL Jun 2027 Index,757.5,0.33,12.15,9.3,7.3,15.835,10.335,0.0,160311,2.05,1.84,6.87,0.02,0.39,0.56,0.6,2.12,3
Mirae Asset Nifty SDL June 2028 Index FundNAReg(G),Debt : Medium to Long Duration,Mahendra Kumar Jajoo,Open Ended,Nifty SDL June 2028 Index,71.7,0.48,11.84,10.05,12.555,15.835,10.335,0.0,160311,3.02,2.6,6.95,0.13,0.93,1.36,0.46,1.25,2
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,Equity : ETFs,Ekta Gala,Open Ended,Nifty Smallcap250 Momentum Quality 100 NA TRI,547.4,0.4,42.15,8.43,12.555,15.835,10.335,20.84,20431,3.105,2.595,7.065,0.15,0.28,0.55,1.0,24.71,1
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF FoFNAReg(G),FoFs : Domestic,Ekta Gala,Open Ended,Nifty Smallcap250 Momentum Quality 100 NA TRI,177.3,0.72,9.33,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.99,24.36,1
Mirae Asset Nifty Total Market Index FundNAReg(G),Equity : Index Funds,Ekta Gala,Open Ended,Nifty Total Market NA TRI,36.1,0.9,9.69,8.43,12.555,15.835,10.335,20.84,192272,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Nifty200 Alpha 30 ETF FoFNAReg(G),FoFs : Domestic,Ekta Gala,Open Ended,Nifty200 Alpha 30 NA TRI,168.7,0.72,8.17,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Nifty500 Multicap 50:25:25 ETF,Equity : ETFs,Ekta Gala,Open Ended,Nifty500 Multicap 50:25:25 NA TRI,44.2,0.16,15.14,8.43,12.555,15.835,10.335,20.84,114211,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset NYSE FANG+ ETF,Equity : ETFs,Siddharth Srivastava,Open Ended,NYSE FANG+ TRI,2405.7,0.63,103.79,26.12,36.29,15.835,10.335,20.84,160311,3.105,2.595,7.065,1.98,0.24,0.46,0.97,29.45,3
Mirae Asset Overnight FundNAReg(G),Debt : Overnight,Amit Modani,Open Ended,Nifty 1D Rate Index,390.7,0.15,1308.92,6.51,6.28,5.03,10.335,0.0,160311,0.01,0.01,6.96,0.01,2.99,0.91,0.9,0.21,5
Mirae Asset S&P 500 Top 50 ETF,Equity : ETFs,Siddharth Srivastava,Open Ended,S&P 500 Top 50 TRI,744.6,0.58,43.77,13.55,17.76,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.51,0.17,0.28,0.59,17.34,3
Mirae Asset Short Duration FundNAReg(G),Debt : Short Duration,Basant Bafna,Open Ended,CRISIL Short Duration Debt Index,347.5,1.11,15.62,9.2,6.71,5.91,10.335,0.0,160311,3.52,2.76,7.32,0.08,0.6,0.88,0.34,1.18,7
Mirae Asset Silver ETF,Gold : ETFs,Ritesh Patel,Open Ended,Silver,94.1,0.38,92.85,19.15,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,1.18,0.23,0.47,0.07,18.54,1
Mirae Asset Small Cap FundNAReg(G),Equity : Small Cap,Varun Goel,Open Ended,Nifty Smallcap 250 NA TRI,1263.3,2.1,10.13,8.43,12.555,15.835,10.335,20.84,33336,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Mirae Asset Ultra Short Duration FundNAReg(G),Debt : Ultra Short Duration,Basant Bafna,Open Ended,NIFTY Ultra Short Duration Debt Index,1414.7,0.41,1293.06,7.79,6.95,15.835,10.335,0.0,160311,0.56,0.5,7.27,0.14,1.79,0.98,0.47,0.45,4
